Year,Improvement,New Measures,Percentile,Part C Rating,Part D Rating (MA-PD),Part D Rating (PDP),Overall Rating
2024,With,With,30,0.924375,0.860382,0.965801,0.972245
2024,With,With,70,1.482292,1.536357,1.548310,1.460744
2024,With,Without,30,0.894302,0.860382,0.965801,0.952953
2024,With,Without,70,1.486442,1.536357,1.548310,1.454437
2024,Without,With,30,0.876231,0.806738,0.751953,0.917753
2024,Without,With,70,1.485714,1.557540,1.419580,1.489974
2024,Without,Without,30,0.845782,0.806738,0.751953,0.893483
2024,Without,Without,70,1.496943,1.557540,1.419580,1.479720
2025,With,,30,0.820452,0.742679,0.847865,0.828220
2025,With,,70,1.275376,1.268610,1.533170,1.240423
2025,Without,,30,0.807024,0.654297,0.717578,0.795388
2025,Without,,70,1.256410,1.210645,1.508203,1.216635
2026,With,With,30,0.918435,0.754209,0.869005,0.914850
2026,With,With,70,1.285170,1.268986,1.747939,1.263462
2026,With,Without,30,0.909844,0.754209,0.869005,0.905154
2026,With,Without,70,1.281071,1.268986,1.747939,1.272639
2026,Without,With,30,0.914326,0.736111,0.749180,0.908919
2026,Without,With,70,1.328432,1.318182,1.814773,1.269610
2026,Without,Without,30,0.908942,0.736111,0.749180,0.915156
2026,Without,Without,70,1.310167,1.318182,1.814773,1.289063
